horizon,history2,action2,state,history1,action1,val
2,(agent:1)1,0,0,(agent:0)0,0,1.6461
2,(agent:1)1,0,1,(agent:0)0,1,4.71739
2,(agent:1)1,0,2,(agent:0)1,1,6.37087
2,(agent:1)1,0,3,(agent:0)1,0,6.28269
2,(agent:1)1,0,1,(agent:0)0,0,0.967937
2,(agent:1)1,0,0,(agent:0)0,1,3.20769
2,(agent:1)1,1,2,(agent:0)0,1,6.34384
2,(agent:1)1,1,3,(agent:0)0,0,7.24514
2,(agent:1)1,1,1,(agent:0)0,0,2.54787
2,(agent:1)1,1,0,(agent:0)0,1,4.39244
2,(agent:1)1,1,3,(agent:0)0,1,6.14693
2,(agent:1)1,1,2,(agent:0)0,0,7.28082
2,(agent:1)1,1,1,(agent:0)0,1,1.14366
2,(agent:1)1,1,0,(agent:0)0,0,2.39234
2,(agent:1)1,1,3,(agent:0)1,0,7.32164
2,(agent:1)1,1,2,(agent:0)1,1,6.36485
2,(agent:1)1,1,0,(agent:0)1,0,6.26732
2,(agent:1)1,1,1,(agent:0)1,1,4.9161
2,(agent:1)1,1,3,(agent:0)1,1,6.40565
2,(agent:1)1,1,2,(agent:0)1,0,7.24231
2,(agent:1)1,1,0,(agent:0)1,1,5.60533
2,(agent:1)1,1,1,(agent:0)1,0,6.08024
2,(agent:1)0,1,1,(agent:0)1,0,2.40662
2,(agent:1)0,1,0,(agent:0)1,1,4.02686
2,(agent:1)0,1,1,(agent:0)1,1,1.80288
2,(agent:1)0,1,0,(agent:0)1,0,4.04777
2,(agent:1)0,1,1,(agent:0)0,0,3.41188
2,(agent:1)0,1,0,(agent:0)0,1,4.6504
2,(agent:1)0,1,3,(agent:0)1,1,6.22409
2,(agent:1)0,1,2,(agent:0)1,0,7.27551
2,(agent:1)0,1,2,(agent:0)0,1,6.32596
2,(agent:1)0,1,3,(agent:0)0,0,7.15409
2,(agent:1)0,1,3,(agent:0)0,1,5.39656
2,(agent:1)0,1,2,(agent:0)0,0,7.25019
2,(agent:1)0,1,1,(agent:0)0,1,1.47835
2,(agent:1)0,1,0,(agent:0)0,0,6.17088
2,(agent:1)0,1,3,(agent:0)1,0,7.21966
2,(agent:1)0,1,2,(agent:0)1,1,6.34173
3,(agent:1)1,1,1,(agent:0)0,0,3.30446
3,(agent:1)1,1,0,(agent:0)0,1,2.70654
3,(agent:1)1,1,3,(agent:0)1,1,5.49147
3,(agent:1)1,1,2,(agent:0)1,0,6.33004
3,(agent:1)1,1,3,(agent:0)0,0,6.33745
3,(agent:1)1,1,2,(agent:0)0,1,5.46029
3,(agent:1)1,1,1,(agent:0)1,1,4.38504
3,(agent:1)1,1,0,(agent:0)1,0,5.37767
3,(agent:1)1,1,2,(agent:0)0,0,6.35032
3,(agent:1)1,1,3,(agent:0)0,1,5.0579
3,(agent:1)1,1,0,(agent:0)1,1,5.22277
3,(agent:1)1,1,1,(agent:0)1,0,5.36278
3,(agent:1)1,1,0,(agent:0)0,0,5.22431
3,(agent:1)1,1,3,(agent:0)1,0,6.34404
3,(agent:1)1,1,2,(agent:0)1,1,5.48992
3,(agent:1)1,1,1,(agent:0)0,1,1.21498
3,(agent:1)0,1,1,(agent:0)1,0,1.27629
3,(agent:1)0,1,0,(agent:0)1,1,2.75967
3,(agent:1)0,1,1,(agent:0)0,0,2.392
3,(agent:1)0,1,0,(agent:0)0,1,4.59807
3,(agent:1)0,1,1,(agent:0)1,1,3.21729
3,(agent:1)0,1,0,(agent:0)1,0,5.1595
3,(agent:1)0,1,1,(agent:0)0,1,0.952593
3,(agent:1)0,1,0,(agent:0)0,0,5.34435
3,(agent:1)0,1,2,(agent:0)1,1,5.46574
3,(agent:1)0,1,3,(agent:0)1,0,6.36615
3,(agent:1)0,1,2,(agent:0)0,0,6.38681
3,(agent:1)0,1,3,(agent:0)0,1,4.27046
3,(agent:1)0,1,3,(agent:0)0,0,6.30466
3,(agent:1)0,1,2,(agent:0)0,1,5.45913
3,(agent:1)0,1,3,(agent:0)1,1,5.02828
3,(agent:1)0,1,2,(agent:0)1,0,6.33718
3,(agent:1)0,0,0,(agent:0)0,1,4.46545
3,(agent:1)0,0,1,(agent:0)0,0,0.768074
3,(agent:1)0,0,3,(agent:0)0,1,6.02804
3,(agent:1)0,0,2,(agent:0)0,0,5.31395
3,(agent:1)0,0,3,(agent:0)1,1,6.48235
3,(agent:1)0,0,2,(agent:0)1,0,5.35709
3,(agent:1)0,0,1,(agent:0)0,1,1.46005
3,(agent:1)0,0,3,(agent:0)1,0,4.71593
3,(agent:1)0,0,0,(agent:0)0,0,4.2997
3,(agent:1)0,0,2,(agent:0)1,1,5.46842
3,(agent:1)0,0,3,(agent:0)0,0,4.37666
3,(agent:1)0,0,2,(agent:0)0,1,5.46428
3,(agent:1)0,0,1,(agent:0)1,1,1.85031
3,(agent:1)0,0,0,(agent:0)1,0,2.23584
3,(agent:1)0,0,0,(agent:0)1,1,2.32467
3,(agent:1)0,0,1,(agent:0)1,0,0.817723
3,(agent:1)1,0,1,(agent:0)0,0,0.901588
3,(agent:1)1,0,0,(agent:0)0,1,2.92862
3,(agent:1)1,0,1,(agent:0)1,0,4.37483
3,(agent:1)1,0,0,(agent:0)1,1,5.29592
3,(agent:1)1,0,1,(agent:0)1,1,6.09445
3,(agent:1)1,0,0,(agent:0)1,0,5.22773
3,(agent:1)1,0,3,(agent:0)0,1,6.36113
3,(agent:1)1,0,2,(agent:0)0,0,5.3249
3,(agent:1)1,0,1,(agent:0)0,1,2.1293
3,(agent:1)1,0,0,(agent:0)0,0,3.03287
3,(agent:1)1,0,2,(agent:0)1,1,5.48949
3,(agent:1)1,0,3,(agent:0)1,0,5.37178
3,(agent:1)1,0,2,(agent:0)1,0,5.38532
3,(agent:1)1,0,3,(agent:0)1,1,6.48815
3,(agent:1)1,0,3,(agent:0)0,0,5.01411
3,(agent:1)1,0,2,(agent:0)0,1,5.46802
4,(agent:1)1,0,1,(agent:0)0,0,1.15679
4,(agent:1)1,0,0,(agent:0)0,1,2.59466
4,(agent:1)1,0,0,(agent:0)1,1,4.35388
4,(agent:1)1,0,1,(agent:0)1,0,3.63383
4,(agent:1)1,0,0,(agent:0)1,0,4.44828
4,(agent:1)1,0,1,(agent:0)1,1,4.75744
4,(agent:1)1,0,1,(agent:0)0,1,1.53795
4,(agent:1)1,0,0,(agent:0)0,0,2.11754
4,(agent:1)1,0,3,(agent:0)1,0,4.49355
4,(agent:1)1,0,2,(agent:0)1,1,4.5981
4,(agent:1)1,0,3,(agent:0)0,0,4.10453
4,(agent:1)1,0,2,(agent:0)0,1,4.58078
4,(agent:1)1,0,2,(agent:0)1,0,4.47375
4,(agent:1)1,0,3,(agent:0)1,1,5.59404
4,(agent:1)1,0,2,(agent:0)0,0,4.50201
4,(agent:1)1,0,3,(agent:0)0,1,5.4336
4,(agent:1)0,0,1,(agent:0)1,0,0.871692
4,(agent:1)0,0,0,(agent:0)1,1,2.47672
4,(agent:1)0,0,1,(agent:0)0,0,0.941019
4,(agent:1)0,0,0,(agent:0)0,1,3.64839
4,(agent:1)0,0,0,(agent:0)1,0,2.31323
4,(agent:1)0,0,1,(agent:0)1,1,1.33021
4,(agent:1)0,0,3,(agent:0)0,1,4.86522
4,(agent:1)0,0,2,(agent:0)0,0,4.40682
4,(agent:1)0,0,3,(agent:0)1,1,5.14729
4,(agent:1)0,0,2,(agent:0)1,0,4.48638
4,(agent:1)0,0,2,(agent:0)0,1,4.5829
4,(agent:1)0,0,3,(agent:0)0,0,3.83231
4,(agent:1)0,0,1,(agent:0)0,1,1.74858
4,(agent:1)0,0,3,(agent:0)1,0,4.12924
4,(agent:1)0,0,0,(agent:0)0,0,3.68513
4,(agent:1)0,0,2,(agent:0)1,1,4.58627
4,(agent:1)0,1,0,(agent:0)1,0,4.41687
4,(agent:1)0,1,1,(agent:0)1,1,0.768971
4,(agent:1)0,1,1,(agent:0)1,0,3.43226
4,(agent:1)0,1,0,(agent:0)1,1,2.38009
4,(agent:1)0,1,3,(agent:0)0,1,3.89573
4,(agent:1)0,1,2,(agent:0)0,0,5.51951
4,(agent:1)0,1,3,(agent:0)1,1,4.2864
4,(agent:1)0,1,2,(agent:0)1,0,5.45463
4,(agent:1)0,1,3,(agent:0)0,0,5.47622
4,(agent:1)0,1,2,(agent:0)0,1,4.58135
4,(agent:1)0,1,1,(agent:0)0,0,2.48874
4,(agent:1)0,1,0,(agent:0)0,1,3.99662
4,(agent:1)0,1,1,(agent:0)0,1,0.825357
4,(agent:1)0,1,0,(agent:0)0,0,4.48753
4,(agent:1)0,1,2,(agent:0)1,1,4.57959
4,(agent:1)0,1,3,(agent:0)1,0,5.4986
4,(agent:1)1,1,1,(agent:0)1,1,3.70284
4,(agent:1)1,1,0,(agent:0)1,0,4.48429
4,(agent:1)1,1,1,(agent:0)0,0,1.87029
4,(agent:1)1,1,0,(agent:0)0,1,4.20766
4,(agent:1)1,1,3,(agent:0)1,1,4.62139
4,(agent:1)1,1,2,(agent:0)1,0,5.46403
4,(agent:1)1,1,1,(agent:0)1,0,4.47516
4,(agent:1)1,1,0,(agent:0)1,1,4.4197
4,(agent:1)1,1,1,(agent:0)0,1,2.51474
4,(agent:1)1,1,0,(agent:0)0,0,3.84342
4,(agent:1)1,1,3,(agent:0)1,0,5.50519
4,(agent:1)1,1,2,(agent:0)1,1,4.59814
4,(agent:1)1,1,3,(agent:0)0,1,4.24228
4,(agent:1)1,1,2,(agent:0)0,0,5.50753
4,(agent:1)1,1,3,(agent:0)0,0,5.48951
4,(agent:1)1,1,2,(agent:0)0,1,4.58234
5,(agent:1)1,0,0,(agent:0)0,1,1.89945
5,(agent:1)1,0,1,(agent:0)0,0,0.781238
5,(agent:1)1,0,3,(agent:0)0,0,3.431
5,(agent:1)1,0,2,(agent:0)0,1,3.68688
5,(agent:1)1,0,1,(agent:0)1,1,4.18903
5,(agent:1)1,0,0,(agent:0)1,0,3.57161
5,(agent:1)1,0,1,(agent:0)0,1,1.27389
5,(agent:1)1,0,0,(agent:0)0,0,2.33717
5,(agent:1)1,0,2,(agent:0)1,1,3.69746
5,(agent:1)1,0,3,(agent:0)1,0,3.60785
5,(agent:1)1,0,1,(agent:0)1,0,3.28758
5,(agent:1)1,0,0,(agent:0)1,1,3.56611
5,(agent:1)1,0,3,(agent:0)1,1,4.69786
5,(agent:1)1,0,2,(agent:0)1,0,3.60714
5,(agent:1)1,0,3,(agent:0)0,1,4.53791
5,(agent:1)1,0,2,(agent:0)0,0,3.55641
5,(agent:1)0,0,1,(agent:0)1,1,3.01569
5,(agent:1)0,0,0,(agent:0)1,0,2.00367
5,(agent:1)0,0,1,(agent:0)0,0,0.477566
5,(agent:1)0,0,0,(agent:0)0,1,3.07739
5,(agent:1)0,0,3,(agent:0)1,1,4.69617
5,(agent:1)0,0,2,(agent:0)1,0,3.54149
5,(agent:1)0,0,1,(agent:0)1,0,0.820203
5,(agent:1)0,0,0,(agent:0)1,1,1.79066
5,(agent:1)0,0,3,(agent:0)0,0,3.0186
5,(agent:1)0,0,2,(agent:0)0,1,3.68717
5,(agent:1)0,0,1,(agent:0)0,1,0.883074
5,(agent:1)0,0,0,(agent:0)0,0,2.96098
5,(agent:1)0,0,2,(agent:0)1,1,3.68987
5,(agent:1)0,0,3,(agent:0)1,0,3.41147
5,(agent:1)0,0,3,(agent:0)0,1,4.42866
5,(agent:1)0,0,2,(agent:0)0,0,3.59727
5,(agent:1)0,1,1,(agent:0)1,1,0.81599
5,(agent:1)0,1,0,(agent:0)1,0,3.43442
5,(agent:1)0,1,1,(agent:0)1,0,1.64079
5,(agent:1)0,1,0,(agent:0)1,1,2.28
5,(agent:1)0,1,1,(agent:0)0,0,2.05111
5,(agent:1)0,1,0,(agent:0)0,1,3.17173
5,(agent:1)0,1,3,(agent:0)1,1,3.57197
5,(agent:1)0,1,2,(agent:0)1,0,4.60158
5,(agent:1)0,1,3,(agent:0)0,0,4.57931
5,(agent:1)0,1,2,(agent:0)0,1,3.69033
5,(agent:1)0,1,3,(agent:0)0,1,3.26129
5,(agent:1)0,1,2,(agent:0)0,0,4.5986
5,(agent:1)0,1,1,(agent:0)0,1,1.11556
5,(agent:1)0,1,3,(agent:0)1,0,4.63471
5,(agent:1)0,1,0,(agent:0)0,0,3.57713
5,(agent:1)0,1,2,(agent:0)1,1,3.69186
5,(agent:1)1,1,1,(agent:0)0,0,1.78167
5,(agent:1)1,1,0,(agent:0)0,1,1.81374
5,(agent:1)1,1,1,(agent:0)1,1,2.87235
5,(agent:1)1,1,0,(agent:0)1,0,3.62439
5,(agent:1)1,1,0,(agent:0)1,1,3.59536
5,(agent:1)1,1,1,(agent:0)1,0,3.64256
5,(agent:1)1,1,2,(agent:0)1,0,4.56655
5,(agent:1)1,1,3,(agent:0)1,1,3.73455
5,(agent:1)1,1,0,(agent:0)0,0,3.4913
5,(agent:1)1,1,1,(agent:0)0,1,2.00094
5,(agent:1)1,1,3,(agent:0)1,0,4.57295
5,(agent:1)1,1,2,(agent:0)1,1,3.69726
5,(agent:1)1,1,2,(agent:0)0,1,3.69041
5,(agent:1)1,1,3,(agent:0)0,0,4.63609
5,(agent:1)1,1,3,(agent:0)0,1,3.46699
5,(agent:1)1,1,2,(agent:0)0,0,4.58935
6,(agent:1)0,1,0,(agent:0)1,1,1.2731
6,(agent:1)0,1,1,(agent:0)1,0,2.31001
6,(agent:1)0,1,1,(agent:0)1,1,0.714247
6,(agent:1)0,1,0,(agent:0)1,0,2.59467
6,(agent:1)0,1,1,(agent:0)0,1,0.399897
6,(agent:1)0,1,0,(agent:0)0,0,2.69866
6,(agent:1)0,1,3,(agent:0)1,0,3.70296
6,(agent:1)0,1,2,(agent:0)1,1,2.79672
6,(agent:1)0,1,2,(agent:0)0,1,2.79396
6,(agent:1)0,1,3,(agent:0)0,0,3.68224
6,(agent:1)0,1,3,(agent:0)1,1,2.71337
6,(agent:1)0,1,2,(agent:0)1,0,3.70126
6,(agent:1)0,1,3,(agent:0)0,1,2.25112
6,(agent:1)0,1,2,(agent:0)0,0,3.69407
6,(agent:1)0,1,1,(agent:0)0,0,1.35188
6,(agent:1)0,1,0,(agent:0)0,1,2.30234
6,(agent:1)1,1,0,(agent:0)0,1,1.23994
6,(agent:1)1,1,1,(agent:0)0,0,2.13611
6,(agent:1)1,1,1,(agent:0)1,0,2.75183
6,(agent:1)1,1,0,(agent:0)1,1,2.70179
6,(agent:1)1,1,2,(agent:0)1,0,3.71621
6,(agent:1)1,1,3,(agent:0)1,1,2.8295
6,(agent:1)1,1,1,(agent:0)0,1,0.814773
6,(agent:1)1,1,0,(agent:0)0,0,2.56745
6,(agent:1)1,1,2,(agent:0)1,1,2.79217
6,(agent:1)1,1,3,(agent:0)1,0,3.69682
6,(agent:1)1,1,3,(agent:0)0,0,3.74243
6,(agent:1)1,1,2,(agent:0)0,1,2.79157
6,(agent:1)1,1,1,(agent:0)1,1,2.37019
6,(agent:1)1,1,0,(agent:0)1,0,2.70256
6,(agent:1)1,1,3,(agent:0)0,1,2.73422
6,(agent:1)1,1,2,(agent:0)0,0,3.65672
6,(agent:1)1,0,1,(agent:0)0,0,0.400895
6,(agent:1)1,0,0,(agent:0)0,1,1.25177
6,(agent:1)1,0,0,(agent:0)1,1,2.69717
6,(agent:1)1,0,1,(agent:0)1,0,2.52114
6,(agent:1)1,0,3,(agent:0)0,1,3.68285
6,(agent:1)1,0,2,(agent:0)0,0,2.70926
6,(agent:1)1,0,3,(agent:0)1,1,3.79242
6,(agent:1)1,0,2,(agent:0)1,0,2.67231
6,(agent:1)1,0,0,(agent:0)0,0,1.49414
6,(agent:1)1,0,3,(agent:0)1,0,2.66227
6,(agent:1)1,0,2,(agent:0)1,1,2.79254
6,(agent:1)1,0,1,(agent:0)0,1,0.947461
6,(agent:1)1,0,1,(agent:0)1,1,3.25495
6,(agent:1)1,0,0,(agent:0)1,0,2.67808
6,(agent:1)1,0,3,(agent:0)0,0,2.53388
6,(agent:1)1,0,2,(agent:0)0,1,2.79719
6,(agent:1)0,0,1,(agent:0)1,0,0.49291
6,(agent:1)0,0,0,(agent:0)1,1,1.34181
6,(agent:1)0,0,1,(agent:0)1,1,0.664352
6,(agent:1)0,0,0,(agent:0)1,0,1.65699
6,(agent:1)0,0,1,(agent:0)0,0,0.677676
6,(agent:1)0,0,0,(agent:0)0,1,2.42981
6,(agent:1)0,0,3,(agent:0)0,0,2.42751
6,(agent:1)0,0,2,(agent:0)0,1,2.79417
6,(agent:1)0,0,2,(agent:0)1,0,2.68752
6,(agent:1)0,0,3,(agent:0)1,1,3.78921
6,(agent:1)0,0,1,(agent:0)0,1,0.490649
6,(agent:1)0,0,3,(agent:0)1,0,2.59199
6,(agent:1)0,0,2,(agent:0)1,1,2.79479
6,(agent:1)0,0,0,(agent:0)0,0,2.18294
6,(agent:1)0,0,3,(agent:0)0,1,3.58962
6,(agent:1)0,0,2,(agent:0)0,0,2.68691
7,(agent:1)1,0,1,(agent:0)1,0,1.6634
7,(agent:1)1,0,0,(agent:0)1,1,1.77031
7,(agent:1)1,0,3,(agent:0)1,1,2.89631
7,(agent:1)1,0,2,(agent:0)1,0,1.80493
7,(agent:1)1,0,3,(agent:0)0,0,1.75552
7,(agent:1)1,0,2,(agent:0)0,1,1.90348
7,(agent:1)1,0,1,(agent:0)1,1,2.73096
7,(agent:1)1,0,0,(agent:0)1,0,1.77503
7,(agent:1)1,0,3,(agent:0)0,1,2.85172
7,(agent:1)1,0,2,(agent:0)0,0,1.83649
7,(agent:1)1,0,1,(agent:0)0,1,0.59102
7,(agent:1)1,0,0,(agent:0)0,0,0.976838
7,(agent:1)1,0,2,(agent:0)1,1,1.89779
7,(agent:1)1,0,3,(agent:0)1,0,1.82317
7,(agent:1)1,0,1,(agent:0)0,0,0.41122
7,(agent:1)1,0,0,(agent:0)0,1,0.979944
7,(agent:1)0,0,1,(agent:0)1,0,0.43312
7,(agent:1)0,0,0,(agent:0)1,1,0.928139
7,(agent:1)0,0,1,(agent:0)0,0,0.515557
7,(agent:1)0,0,0,(agent:0)0,1,1.60023
7,(agent:1)0,0,3,(agent:0)1,1,2.89715
7,(agent:1)0,0,2,(agent:0)1,0,1.78956
7,(agent:1)0,0,3,(agent:0)0,0,1.57418
7,(agent:1)0,0,2,(agent:0)0,1,1.89771
7,(agent:1)0,0,1,(agent:0)1,1,1.94758
7,(agent:1)0,0,0,(agent:0)1,0,1.06354
7,(agent:1)0,0,3,(agent:0)0,1,2.72244
7,(agent:1)0,0,2,(agent:0)0,0,1.8144
7,(agent:1)0,0,0,(agent:0)0,0,1.48737
7,(agent:1)0,0,3,(agent:0)1,0,1.75808
7,(agent:1)0,0,2,(agent:0)1,1,1.89214
7,(agent:1)0,0,1,(agent:0)0,1,0.526391
7,(agent:1)1,1,0,(agent:0)0,1,0.847134
7,(agent:1)1,1,1,(agent:0)0,0,0.983818
7,(agent:1)1,1,3,(agent:0)0,1,1.87606
7,(agent:1)1,1,2,(agent:0)0,0,2.77929
7,(agent:1)1,1,0,(agent:0)1,1,1.7921
7,(agent:1)1,1,1,(agent:0)1,0,1.8139
7,(agent:1)1,1,3,(agent:0)1,1,1.91462
7,(agent:1)1,1,2,(agent:0)1,0,2.8204
7,(agent:1)1,1,2,(agent:0)0,1,1.89427
7,(agent:1)1,1,3,(agent:0)0,0,2.7849
7,(agent:1)1,1,0,(agent:0)1,0,1.80689
7,(agent:1)1,1,1,(agent:0)1,1,1.53208
7,(agent:1)1,1,1,(agent:0)0,1,1.16118
7,(agent:1)1,1,0,(agent:0)0,0,1.77808
7,(agent:1)1,1,3,(agent:0)1,0,2.83707
7,(agent:1)1,1,2,(agent:0)1,1,1.89281
7,(agent:1)0,1,0,(agent:0)1,0,1.77334
7,(agent:1)0,1,1,(agent:0)1,1,0.432415
7,(agent:1)0,1,1,(agent:0)1,0,1.15047
7,(agent:1)0,1,0,(agent:0)1,1,1.05914
7,(agent:1)0,1,1,(agent:0)0,0,1.14717
7,(agent:1)0,1,0,(agent:0)0,1,1.6527
7,(agent:1)0,1,2,(agent:0)1,0,2.79353
7,(agent:1)0,1,3,(agent:0)1,1,1.83649
7,(agent:1)0,1,3,(agent:0)0,1,1.73236
7,(agent:1)0,1,2,(agent:0)0,0,2.82116
7,(agent:1)0,1,3,(agent:0)0,0,2.84577
7,(agent:1)0,1,2,(agent:0)0,1,1.89715
7,(agent:1)0,1,1,(agent:0)0,1,0.391813
7,(agent:1)0,1,3,(agent:0)1,0,2.79816
7,(agent:1)0,1,2,(agent:0)1,1,1.903
7,(agent:1)0,1,0,(agent:0)0,0,1.79954
8,(agent:1)0,1,1,(agent:0)1,1,0.249933
8,(agent:1)0,1,0,(agent:0)1,0,0.796804
8,(agent:1)0,1,1,(agent:0)0,0,0.505185
8,(agent:1)0,1,0,(agent:0)0,1,0.804864
8,(agent:1)0,1,3,(agent:0)0,1,0.932956
8,(agent:1)0,1,2,(agent:0)0,0,1.90988
8,(agent:1)0,1,3,(agent:0)0,0,1.92579
8,(agent:1)0,1,2,(agent:0)0,1,0.999998
8,(agent:1)0,1,1,(agent:0)0,1,0.316136
8,(agent:1)0,1,3,(agent:0)1,0,1.88765
8,(agent:1)0,1,0,(agent:0)0,0,0.888137
8,(agent:1)0,1,2,(agent:0)1,1,0.999987
8,(agent:1)0,1,1,(agent:0)1,0,0.466474
8,(agent:1)0,1,0,(agent:0)1,1,0.857874
8,(agent:1)0,1,3,(agent:0)1,1,0.957358
8,(agent:1)0,1,2,(agent:0)1,0,1.9211
8,(agent:1)1,1,0,(agent:0)0,1,0.526658
8,(agent:1)1,1,1,(agent:0)0,0,0.800042
8,(agent:1)1,1,0,(agent:0)1,1,0.890744
8,(agent:1)1,1,1,(agent:0)1,0,0.934183
8,(agent:1)1,1,3,(agent:0)0,1,0.964467
8,(agent:1)1,1,2,(agent:0)0,0,1.84278
8,(agent:1)1,1,0,(agent:0)0,0,0.910254
8,(agent:1)1,1,1,(agent:0)0,1,0.142146
8,(agent:1)1,1,2,(agent:0)1,1,1
8,(agent:1)1,1,3,(agent:0)1,0,1.91143
8,(agent:1)1,1,0,(agent:0)1,0,0.916938
8,(agent:1)1,1,1,(agent:0)1,1,0.818357
8,(agent:1)1,1,2,(agent:0)0,1,0.999975
8,(agent:1)1,1,3,(agent:0)0,0,1.91135
8,(agent:1)1,1,2,(agent:0)1,0,1.92111
8,(agent:1)1,1,3,(agent:0)1,1,0.999998
8,(agent:1)0,0,1,(agent:0)1,0,0.157488
